Song,Start Build,4 Measures,Drop,Breakdown,End Breakdown,Key,Tempo
01 All Night Man.mp3,00:45.8,00:53.4,01:01.0,02:01.9,02:07.7,9A,126
02 Always You (Shiba San Remix).mp3,05:30.5,05:38.4,05:46.3,06:49.2,07:52.2,7A,122
Another Time ft. Jamie George (Taiki Nulight remix).mp3,01:43.7,01:53.3,02:02.9,03:04.4,03:19.7,2A,125
03 Benny Blanco (Spoils Remix).mp3,00:45.7,00:53.1,01:02.5,02:00.7,02:21.3,4A,128
Bitch U Ghastly (OGMacox2Chainz).mp3,01:01.5,01:09.1,01:16.8,02:03.0,02:18.3,2A,125
01 Cherry Hill feat. Max Marshall (Original Mix).mp3,03:07.4,03:15.2,03:23.0,04:23.5,04:41.0,7A,123
01 Choices (AC Slater & Sinden Remix).mp3,02:30.5,03:10.5,03:18.2,04:34.3,04:47.4,7A,126
03 Deep Down Low.mp3,00:43.8,00:54.0,01:01.0,01:46.7,02:00.0,6A,126
Enemies In The Dance.mp3,00:59.1,01:21.3,01:28.7,02:38.8,03:08.4,9A,130
Fustraightin.mp3,00:14.6,00:36.1,00:43.7,02:09.1,02:18.2,9A,132
Heaven.mp3,00:39.4,00:52.2,01:00.0,01:58.1,02:03.3,9A,128
Hooch.mp3,00:02.0,00:09.6,00:17.2,00:47.7,00:55.2,2A,126
04 I Enter.mp3,00:51.1,00:55.0,01:02.8,01:34.1,01:37.9,5A,123
I like your booty.mp3,02:22.0,02:50.0,02:58.0,04:16.0,04:29.0,5A,120
01 I Remember (Shiba San Remix).mp3,02:28.4,03:15.2,03:23.0,03:54.2,04:05.9,10A,123
IAEATD (It Ain't Even About The Dough) (feat. Herve?).mp3,01:16.2,01:23.9,01:31.5,03:02.9,03:10.5,9A,126
ILL BRED.mp3,01:31.5,01:39.1,01:46.7,02:32.4,02:40.0,11A,126
Impression Of You ft. Patrick Baker (Taiki Nulight Remix).mp3,01:01.5,01:09.2,01:16.9,02:29.0,03:33.2,4A,125
Jack (Taiki & Nulight Remix).mp3,03:00.0,03:22.5,03:30.0,04:30.0,05:00.0,1A,128
Let Me Know (Taiki Nulight Remix).mp3,01:16.5,01:24.1,01:31.8,02:32.7,02:55.6,11A,126
Like This (Depox & Kylo Remix).mp3,02:22.6,03:00.1,03:07.6,04:07.5,04:37.6,8A,128
Look At Me.mp3,00:45.8,00:53.4,01:01.0,02:01.9,02:17.2,6A,126
Lost.mp3,01:18.8,01:22.5,01:30.0,02:28.2,02:43.2,1A,128
Low Frequency (Shiba San Remix).mp3,01:02.0,01:25.2,01:33.0,02:34.9,02:44.6,2A,124
Nigga Who (Original mix).mp3,02:08.4,02:14.5,02:22.6,03:11.4,03:25.7,11A,118
Notorious.mp3,00:26.9,00:38.4,00:46.1,01:47.5,01:53.3,1A,125
OKAY (Original Mix).mp3,02:51.8,03:15.2,03:23.1,04:56.7,05:41.6,7A,123
01 Planet Floor (Original Mix).mp3,02:20.6,02:44.1,02:51.9,03:54.3,04:21.6,8A,123
03 Reborn (Spoils Remix),01:01.6,01:24.5,01:32.1,02:33.0,02:46.4,1A,126
Rhymes (Taiki Nulight Remix).mp3,01:01.0,01:08.6,01:16.3,02:32.5,02:40.1,3A,126
01 Show Me (AC Slater Remix),00:45.1,00:52.6,01:00.1,02:56.3,03:30.1,9A,128
02 Show Me Show Me (Original Mix).mp3,03:54.3,04:02.1,04:09.9,04:41.1,05:06.5,9B,123
02 Silence (Stripes x Red Bull Studios EP).mp3,00:49.6,00:53.4,01:01.0,02:00.0,02:15.3,10A,126
Started From The Bottom.mp3,02:05.9,02:29.5,02:37.4,03:56.1,04:11.8,8A,122
Tear The House Up (Spoils & Monkey Wrench Remix).mp3,03:07.2,03:26.3,03:33.9,05:33.9,06:04.4,6A,126
Tempest.mp3,01:02.5,01:26.0,01:33.8,03:07.4,03:23.0,1A,123
01 That's Right.mp3,00:30.2,00:37.7,00:45.2,01:15.2,01:45.2,9A,128
Twisted (Original mix).mp3,00:15.4,00:23.1,00:30.7,01:01.5,01:09.1,12A,125
U Got 2.mp3,00:46.0,01:08.9,01:16.5,02:17.5,02:47.9,6A,126
You Are Sleeping (Shiba San Remix).mp3,01:02.6,01:26.3,01:34.1,02:42.1,02:59.7,9A,123